CDSqueryname	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs	MappedReadstoCDS	CDSLength	ParentContig	MappedReadstoParentContig	Duplicity	MeanDust	Damage+1	Damage-1	MeanLength	ANI	AvgReadGC	AvgRefGC	UniqueKmers	RatioDupKmers
contig-100_0_1	266117.Rxyl_3082	8e-34	129.0	COG0438@1|root,COG3350@1|root,COG0438@2|Bacteria,COG3350@2|Bacteria,2ICGI@201174|Actinobacteria,4CPFR@84995|Rubrobacteria	201174|Actinobacteria	M	Glycosyl transferases group 1	-	-	2.4.1.245	ko:K13057	ko00500,ko01100,map00500,map01100	-	R08946,R10525,R11306	RC00005,RC00049,RC02748	ko00000,ko00001,ko01000	-	GT4	-	Glycos_transf_1,YHS	30	333	"contig-100_0"	1979	2.55	2.66	0.1021	0.0469	83.24	0.977	0.386	0.389	42955	0.607
contig-100_0_2	247490.KSU1_C0357	1.4e-193	556.0	COG1640@1|root,COG1640@2|Bacteria,2IXJJ@203682|Planctomycetes	203682|Planctomycetes	G	4-alpha-glucanotransferase	-	-	2.4.1.25	ko:K00705	ko00500,ko01100,map00500,map01100	-	R05196	RC00049	ko00000,ko00001,ko01000	-	GH77	-	Glyco_hydro_77	179	1515	"contig-100_0"	1979	2.55	2.66	0.1021	0.0469	83.24	0.977	0.386	0.389	42955	0.607
contig-100_0_3	335543.Sfum_2350	0.0	896.0	COG1449@1|root,COG1449@2|Bacteria,1PUYM@1224|Proteobacteria,42MQP@68525|delta/epsilon subdivisions,2WKP2@28221|Deltaproteobacteria,2MQ8B@213462|Syntrophobacterales	28221|Deltaproteobacteria	G	Belongs to the glycosyl hydrolase 57 family	-	-	-	-	-	-	-	-	-	-	-	-	DUF3536,Glyco_hydro_57	313	2445	"contig-100_0"	1979	2.55	2.66	0.1021	0.0469	83.24	0.977	0.386	0.389	42955	0.607
contig-100_0_4	247490.KSU1_C1305	0.0	932.0	COG0296@1|root,COG0296@2|Bacteria,2IXS1@203682|Planctomycetes	203682|Planctomycetes	G	Catalyzes the formation of the alpha-1,6-glucosidic linkages in glycogen by scission of a 1,4-alpha-linked oligosaccharide from growing alpha-1,4-glucan chains and the subsequent attachment of the oligosaccharide to the alpha-1,6 position	glgB	-	2.4.1.18	ko:K00700	ko00500,ko01100,ko01110,map00500,map01100,map01110	M00565	R02110	-	ko00000,ko00001,ko00002,ko01000,ko04147	-	CBM48,GH13	-	Alpha-amylase,Alpha-amylase_C,CBM_48	249	1911	"contig-100_0"	1979	2.55	2.66	0.1021	0.0469	83.24	0.977	0.386	0.389	42955	0.607
contig-100_0_5	247490.KSU1_C1304	0.0	1390.0	COG0366@1|root,COG3281@1|root,COG0366@2|Bacteria,COG3281@2|Bacteria,2IXJN@203682|Planctomycetes	203682|Planctomycetes	G	alpha amylase catalytic	-	-	3.2.1.1,3.2.1.10,5.4.99.16	ko:K01182,ko:K05343	ko00052,ko00500,ko01100,map00052,map00500,map01100	-	R00801,R01557,R01718,R01791,R02108,R02112,R06199,R11262	RC00028,RC00059,RC00077,RC00451,RC01816	ko00000,ko00001,ko01000	-	GH13	-	Alpha-amylase,DUF3459,Malt_amylase_C	411	3333	"contig-100_0"	1979	2.55	2.66	0.1021	0.0469	83.24	0.977	0.386	0.389	42955	0.607
contig-100_0_6	247490.KSU1_C1303	1.79e-297	832.0	COG0366@1|root,COG0366@2|Bacteria,2IYAN@203682|Planctomycetes	203682|Planctomycetes	G	Maltosyltransferase that uses maltose 1-phosphate (M1P) as the sugar donor to elongate linear or branched alpha-(1- 4)- glucans. Is involved in a branched alpha-glucan biosynthetic pathway from trehalose, together with TreS, Mak and GlgB	glgE	-	2.4.99.16	ko:K16147	ko00500,ko01100,map00500,map01100	-	R09994	-	ko00000,ko00001,ko01000	-	GH13	-	Alpha-amylase,DUF3416	246	1965	"contig-100_0"	1979	2.55	2.66	0.1021	0.0469	83.24	0.977	0.386	0.389	42955	0.607
contig-100_0_7	511051.CSE_06680	0.000164	46.2	COG0438@1|root,COG0438@2|Bacteria	2|Bacteria	M	transferase activity, transferring glycosyl groups	gtf2	-	-	-	-	-	-	-	-	-	-	-	-	23	285	"contig-100_0"	1979	2.55	2.66	0.1021	0.0469	83.24	0.977	0.386	0.389	42955	0.607
contig-100_0_8	247490.KSU1_C1645	4.77e-260	732.0	COG0058@1|root,COG0058@2|Bacteria,2IY0J@203682|Planctomycetes	203682|Planctomycetes	G	COG0058 Glucan phosphorylase	-	-	-	-	-	-	-	-	-	-	-	-	Phosphorylase,YHS	200	1731	"contig-100_0"	1979	2.55	2.66	0.1021	0.0469	83.24	0.977	0.386	0.389	42955	0.607
contig-100_0_9	368407.Memar_2216	1.4e-168	498.0	COG0380@1|root,arCOG02831@2157|Archaea,2XSTE@28890|Euryarchaeota	28890|Euryarchaeota	G	COG0380 Trehalose-6-phosphate synthase	otsA	-	2.4.1.15,2.4.1.347,3.1.3.12	ko:K00697,ko:K16055	ko00500,ko01100,map00500,map01100	-	R02737,R02778	RC00005,RC00017,RC00049,RC02748	ko00000,ko00001,ko01000,ko01003	-	GT20	-	Glyco_transf_20,Trehalose_PPase	203	1305	"contig-100_0"	1979	2.55	2.66	0.1021	0.0469	83.24	0.977	0.386	0.389	42955	0.607
contig-100_1_1	56780.SYN_01347	8.56e-33	129.0	COG0421@1|root,COG1586@1|root,COG0421@2|Bacteria,COG1586@2|Bacteria,1QGMA@1224|Proteobacteria,437GS@68525|delta/epsilon subdivisions,2XA3Z@28221|Deltaproteobacteria,2MSEN@213462|Syntrophobacterales	28221|Deltaproteobacteria	E	Spermidine synthase tetramerisation domain	-	-	2.5.1.16	ko:K00797	ko00270,ko00330,ko00410,ko00480,ko01100,map00270,map00330,map00410,map00480,map01100	M00034,M00133	R01920,R02869,R08359	RC00021,RC00053	ko00000,ko00001,ko00002,ko01000	-	-	-	Spermine_synt_N,Spermine_synth	78	693	"contig-100_1"	799	2.79	3.17	0.1044	0.0769	86.12	0.9859	0.298	0.299	16625	0.642
