CDSqueryname	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs	MappedReadstoCDS	CDSLength	ParentContig	MappedReadstoParentContig	Duplicity	MeanDust	Damage+1	Damage-1	MeanLength	ANI	AvgReadGC	AvgRefGC	UniqueKmers	RatioDupKmers
contig-100_0_1	927677.ALVU02000001_gene2510	0.0	1373.0	COG1020@1|root,COG3320@1|root,COG1020@2|Bacteria,COG3320@2|Bacteria,1G0XE@1117|Cyanobacteria	1117|Cyanobacteria	Q	Amino acid adenylation domain	-	-	-	-	-	-	-	-	-	-	-	-	AMP-binding,AMP-binding_C,Condensation,Methyltransf_12,NAD_binding_4,PP-binding,PilZ,Thioesterase	226	2529	"contig-100_0"	1728	2.98	2.36	0.0186	0.0153	103.31	0.9884	0.441	0.44	43723	0.664
contig-100_0_2	1173022.Cri9333_1520	6.52e-29	111.0	28RQG@1|root,2ZE32@2|Bacteria,1GH3T@1117|Cyanobacteria	1117|Cyanobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	30	513	"contig-100_0"	1728	2.98	2.36	0.0186	0.0153	103.31	0.9884	0.441	0.44	43723	0.664
contig-100_0_4	1173022.Cri9333_1520	1.12e-40	140.0	28RQG@1|root,2ZE32@2|Bacteria,1GH3T@1117|Cyanobacteria	1117|Cyanobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	22	459	"contig-100_0"	1728	2.98	2.36	0.0186	0.0153	103.31	0.9884	0.441	0.44	43723	0.664
contig-100_0_5	1170562.Cal6303_5089	3.25e-86	263.0	COG3121@1|root,COG3121@2|Bacteria,1G5Y9@1117|Cyanobacteria	1117|Cyanobacteria	NU	PFAM Gram-negative pili assembly chaperone, N-terminal domain	-	-	-	ko:K07346	-	-	-	-	ko00000,ko02035,ko02044,ko03110	-	-	-	PapD_N	62	753	"contig-100_0"	1728	2.98	2.36	0.0186	0.0153	103.31	0.9884	0.441	0.44	43723	0.664
contig-100_0_6	1173022.Cri9333_1518	0.0	1068.0	COG3188@1|root,COG3188@2|Bacteria,1G1BM@1117|Cyanobacteria,1H9YQ@1150|Oscillatoriales	1117|Cyanobacteria	NU	Outer membrane usher protein	-	-	-	ko:K07347	ko05133,map05133	-	-	-	ko00000,ko00001,ko02000,ko02035,ko02044	1.B.11.3	-	-	Usher	215	2778	"contig-100_0"	1728	2.98	2.36	0.0186	0.0153	103.31	0.9884	0.441	0.44	43723	0.664
contig-100_0_8	1174528.JH992888_gene230	5.88e-51	174.0	COG1192@1|root,COG1192@2|Bacteria,1GCP0@1117|Cyanobacteria,1JMXB@1189|Stigonemataceae	1117|Cyanobacteria	D	Involved in chromosome partitioning	-	-	-	-	-	-	-	-	-	-	-	-	-	75	789	"contig-100_0"	1728	2.98	2.36	0.0186	0.0153	103.31	0.9884	0.441	0.44	43723	0.664
contig-100_0_9	864702.OsccyDRAFT_4513	9.22e-07	54.7	2DC93@1|root,2ZDAK@2|Bacteria,1GGMY@1117|Cyanobacteria,1HGNK@1150|Oscillatoriales	1117|Cyanobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	38	513	"contig-100_0"	1728	2.98	2.36	0.0186	0.0153	103.31	0.9884	0.441	0.44	43723	0.664
contig-100_0_10	63737.Npun_R3345	2.57e-28	114.0	COG0358@1|root,COG1196@1|root,COG0358@2|Bacteria,COG1196@2|Bacteria,1GEU0@1117|Cyanobacteria,1HMRG@1161|Nostocales	1117|Cyanobacteria	DL	Plasmid recombination enzyme	-	-	-	-	-	-	-	-	-	-	-	-	DUF3991,Mob_Pre,Toprim_2	19	333	"contig-100_0"	1728	2.98	2.36	0.0186	0.0153	103.31	0.9884	0.441	0.44	43723	0.664
contig-100_0_11	32057.KB217482_gene8671	2.71e-101	321.0	COG0358@1|root,COG1196@1|root,COG0358@2|Bacteria,COG1196@2|Bacteria,1GEU0@1117|Cyanobacteria,1HMRG@1161|Nostocales	1117|Cyanobacteria	DL	Plasmid recombination enzyme	-	-	-	-	-	-	-	-	-	-	-	-	DUF3991,Mob_Pre,Toprim_2	84	1329	"contig-100_0"	1728	2.98	2.36	0.0186	0.0153	103.31	0.9884	0.441	0.44	43723	0.664
contig-100_0_13	272123.Anacy_5604	1.27e-36	127.0	COG0454@1|root,COG0456@2|Bacteria	2|Bacteria	K	acetyltransferase	-	-	-	-	-	-	-	-	-	-	-	-	-	21	318	"contig-100_0"	1728	2.98	2.36	0.0186	0.0153	103.31	0.9884	0.441	0.44	43723	0.664
