CDSqueryname	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs	MappedReadstoCDS	CDSLength	ParentContig	MappedReadstoParentContig	Duplicity	MeanDust	Damage+1	Damage-1	MeanLength	ANI	AvgReadGC	AvgRefGC	UniqueKmers	RatioDupKmers
contig-100_0_3	1150864.MILUP08_41058	3.45e-18	87.4	COG3583@1|root,COG3583@2|Bacteria,2GRTZ@201174|Actinobacteria,4DEE6@85008|Micromonosporales	201174|Actinobacteria	S	G5	-	-	-	-	-	-	-	-	-	-	-	-	Excalibur,G5	104	2766	"contig-100_0"	9236	2.59	2.0	0.1023	0.0299	72.96	0.9845	0.457	0.465	160506	0.613
contig-100_0_4	1201288.M900_0902	7.73e-09	60.8	COG0500@1|root,COG0500@2|Bacteria,1R5D7@1224|Proteobacteria,42XNY@68525|delta/epsilon subdivisions,2X7ZS@28221|Deltaproteobacteria	28221|Deltaproteobacteria	Q	Methyltransferase domain	-	-	-	-	-	-	-	-	-	-	-	-	Methyltransf_23,Methyltransf_25	86	3521	"contig-100_0"	9236	2.59	2.0	0.1023	0.0299	72.96	0.9845	0.457	0.465	160506	0.613
contig-100_0_5	883078.HMPREF9695_04786	0.000133	50.4	COG2968@1|root,COG2968@2|Bacteria,1RH7T@1224|Proteobacteria,2U981@28211|Alphaproteobacteria,3JVGB@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	S	Protein of unknown function (DUF541)	omp28	GO:0005575,GO:0005623,GO:0042597,GO:0044464	-	ko:K09807	-	-	-	-	ko00000	-	-	-	SIMPL	113	4377	"contig-100_0"	9236	2.59	2.0	0.1023	0.0299	72.96	0.9845	0.457	0.465	160506	0.613
contig-100_0_7	105425.BBPL01000090_gene8097	3.55e-21	95.1	COG0668@1|root,COG0668@2|Bacteria,2IQWA@201174|Actinobacteria,2NHYM@228398|Streptacidiphilus	201174|Actinobacteria	M	Mechanosensitive ion channel	-	-	-	-	-	-	-	-	-	-	-	-	MS_channel	101	5829	"contig-100_0"	9236	2.59	2.0	0.1023	0.0299	72.96	0.9845	0.457	0.465	160506	0.613
contig-100_0_9	243231.GSU1945	2.99e-18	96.7	COG3209@1|root,COG3291@1|root,COG3209@2|Bacteria,COG3291@2|Bacteria,1Q4PP@1224|Proteobacteria,42YRG@68525|delta/epsilon subdivisions,2WUJR@28221|Deltaproteobacteria	28221|Deltaproteobacteria	O	Bacterial Ig-like domain (group 3)	-	-	-	-	-	-	-	-	-	-	-	-	Big_3_3	223	7577	"contig-100_0"	9236	2.59	2.0	0.1023	0.0299	72.96	0.9845	0.457	0.465	160506	0.613
contig-100_0_11	1301100.HG529326_gene4536	1.35e-104	315.0	COG1131@1|root,COG1131@2|Bacteria,1TPJE@1239|Firmicutes,248R4@186801|Clostridia,36VFG@31979|Clostridiaceae	186801|Clostridia	V	AAA domain, putative AbiEii toxin, Type IV TA system	-	-	-	ko:K01990	-	M00254	-	-	ko00000,ko00002,ko02000	3.A.1	-	-	ABC_tran,DUF4162	152	9495	"contig-100_0"	9236	2.59	2.0	0.1023	0.0299	72.96	0.9845	0.457	0.465	160506	0.613
contig-100_0_12	208439.AJAP_13010	1.03e-55	187.0	COG0842@1|root,COG0842@2|Bacteria,2GIVW@201174|Actinobacteria,4DY4G@85010|Pseudonocardiales	201174|Actinobacteria	V	PFAM ABC-2 type transporter	-	-	-	ko:K01992	-	M00254	-	-	ko00000,ko00002,ko02000	3.A.1	-	-	ABC2_membrane	120	10302	"contig-100_0"	9236	2.59	2.0	0.1023	0.0299	72.96	0.9845	0.457	0.465	160506	0.613
contig-100_0_13	1115632.JAFW01000001_gene1008	6.85e-16	92.0	COG3827@1|root,COG3827@2|Bacteria,2GZEG@201174|Actinobacteria,1WBT3@1268|Micrococcaceae	201174|Actinobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	544	13256	"contig-100_0"	9236	2.59	2.0	0.1023	0.0299	72.96	0.9845	0.457	0.465	160506	0.613
contig-100_0_14	1302858.I871_03865	2.94e-60	202.0	COG0042@1|root,COG0042@2|Bacteria,2J59K@203691|Spirochaetes	203691|Spirochaetes	H	Catalyzes the synthesis of 5,6-dihydrouridine (D), a modified base found in the D-loop of most tRNAs, via the reduction of the C5-C6 double bond in target uridines	-	-	-	-	-	-	-	-	-	-	-	-	Dus	151	14272	"contig-100_0"	9236	2.59	2.0	0.1023	0.0299	72.96	0.9845	0.457	0.465	160506	0.613
contig-100_0_17	1047013.AQSP01000066_gene724	8.4e-14	66.2	2E5PY@1|root,330EK@2|Bacteria,2NS29@2323|unclassified Bacteria	2|Bacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	16	16163	"contig-100_0"	9236	2.59	2.0	0.1023	0.0299	72.96	0.9845	0.457	0.465	160506	0.613
contig-100_0_18	1198452.Jab_1c10470	4.76e-09	60.5	2FH2G@1|root,348X9@2|Bacteria,1P05V@1224|Proteobacteria,2W3Y8@28216|Betaproteobacteria	28216|Betaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	91	17058	"contig-100_0"	9236	2.59	2.0	0.1023	0.0299	72.96	0.9845	0.457	0.465	160506	0.613
contig-100_0_20	679192.HMPREF9013_0241	2.15e-28	124.0	COG0773@1|root,COG0773@2|Bacteria,1TQ5H@1239|Firmicutes,3VP48@526524|Erysipelotrichia	526524|Erysipelotrichia	M	Belongs to the MurCDEF family	murC	-	6.3.2.8	ko:K01924	ko00471,ko00550,ko01100,map00471,map00550,map01100	-	R03193	RC00064,RC00141	ko00000,ko00001,ko01000,ko01011	-	-	-	Mur_ligase,Mur_ligase_C,Mur_ligase_M	225	19071	"contig-100_0"	9236	2.59	2.0	0.1023	0.0299	72.96	0.9845	0.457	0.465	160506	0.613
contig-100_0_21	1122138.AQUZ01000007_gene3137	6.96e-30	110.0	COG1694@1|root,COG1694@2|Bacteria,2INKJ@201174|Actinobacteria,4DRIK@85009|Propionibacteriales	201174|Actinobacteria	S	MazG nucleotide pyrophosphohydrolase domain	-	-	-	-	-	-	-	-	-	-	-	-	MazG	40	19397	"contig-100_0"	9236	2.59	2.0	0.1023	0.0299	72.96	0.9845	0.457	0.465	160506	0.613
contig-100_0_22	1158338.JNLJ01000005_gene1646	6.46e-27	108.0	COG0009@1|root,COG0009@2|Bacteria,2G48I@200783|Aquificae	200783|Aquificae	J	Belongs to the SUA5 family	-	-	2.7.7.87	ko:K07566	-	-	R10463	RC00745	ko00000,ko01000,ko03009,ko03016	-	-	-	Sua5_yciO_yrdC	82	19961	"contig-100_0"	9236	2.59	2.0	0.1023	0.0299	72.96	0.9845	0.457	0.465	160506	0.613
contig-100_0_25	1215915.BN193_11390	4.4e-288	802.0	COG0173@1|root,COG0173@2|Bacteria,1TPCN@1239|Firmicutes,4HACD@91061|Bacilli,1YB9A@1357|Lactococcus	91061|Bacilli	J	Catalyzes the attachment of L-aspartate to tRNA(Asp) in a two-step reaction L-aspartate is first activated by ATP to form Asp-AMP and then transferred to the acceptor end of tRNA(Asp)	aspS	-	6.1.1.12	ko:K01876	ko00970,map00970	M00359,M00360	R05577	RC00055,RC00523	ko00000,ko00001,ko00002,ko01000,ko01007,ko03016,ko03029	-	-	-	GAD,tRNA-synt_2,tRNA_anti-codon	314	24493	"contig-100_0"	9236	2.59	2.0	0.1023	0.0299	72.96	0.9845	0.457	0.465	160506	0.613
contig-100_0_26	323259.Mhun_3011	3.94e-05	53.9	COG1253@1|root,arCOG00626@2157|Archaea,2XT1Z@28890|Euryarchaeota,2N962@224756|Methanomicrobia	224756|Methanomicrobia	S	CBS domain containing protein	-	-	-	-	-	-	-	-	-	-	-	-	CBS,CorC_HlyC,DUF21	172	25583	"contig-100_0"	9236	2.59	2.0	0.1023	0.0299	72.96	0.9845	0.457	0.465	160506	0.613
contig-100_0_27	326423.RBAM_023940	5.05e-20	90.5	COG1057@1|root,COG1057@2|Bacteria,1V3SK@1239|Firmicutes,4HGXK@91061|Bacilli,1ZFIV@1386|Bacillus	91061|Bacilli	H	Catalyzes the reversible adenylation of nicotinate mononucleotide (NaMN) to nicotinic acid adenine dinucleotide (NaAD)	nadD	GO:0000309,GO:0003674,GO:0003824,GO:0004515,GO:0006082,GO:0006139,GO:0006520,GO:0006531,GO:0006725,GO:0006732,GO:0006733,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009066,GO:0009108,GO:0009117,GO:0009165,GO:0009435,GO:0009987,GO:0016740,GO:0016772,GO:0016779,GO:0018130,GO:0019355,GO:0019359,GO:0019362,GO:0019363,GO:0019438,GO:0019637,GO:0019674,GO:0019752,GO:0034627,GO:0034628,GO:0034641,GO:0034654,GO:0043436,GO:0043648,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0046483,GO:0046496,GO:0051186,GO:0051188,GO:0055086,GO:0070566,GO:0071704,GO:0072524,GO:0072525,GO:0090407,GO:1901293,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901605	2.7.7.18	ko:K00969	ko00760,ko01100,map00760,map01100	M00115	R00137,R03005	RC00002	ko00000,ko00001,ko00002,ko01000	-	-	-	CTP_transf_like	85	26176	"contig-100_0"	9236	2.59	2.0	0.1023	0.0299	72.96	0.9845	0.457	0.465	160506	0.613
