CDSqueryname	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs	MappedReadstoCDS	CDSLength	ParentContig	MappedReadstoParentContig	Duplicity	MeanDust	Damage+1	Damage-1	MeanLength	ANI	AvgReadGC	AvgRefGC	UniqueKmers	RatioDupKmers
contig-100_0_1	477184.KYC_17352	1.03e-29	122.0	COG2401@1|root,COG2401@2|Bacteria,1R423@1224|Proteobacteria,2VTGK@28216|Betaproteobacteria	28216|Betaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	51	812	"contig-100_0"	2410	2.29	2.3	0.082	0.0517	76.9	0.9804	0.602	0.618	51513	0.563
contig-100_0_3	697281.Mahau_0077	6.97e-89	287.0	COG0507@1|root,COG0507@2|Bacteria,1TQWH@1239|Firmicutes,24A8I@186801|Clostridia,42HVJ@68295|Thermoanaerobacterales	186801|Clostridia	L	A helicase nuclease that prepares dsDNA breaks (DSB) for recombinational DNA repair. Binds to DSBs and unwinds DNA via a highly rapid and processive ATP-dependent bidirectional helicase activity. Unwinds dsDNA until it encounters a Chi (crossover hotspot instigator) sequence from the 3' direction. Cuts ssDNA a few nucleotides 3' to the Chi site. The properties and activities of the enzyme are changed at Chi. The Chi-altered holoenzyme produces a long 3'-ssDNA overhang and facilitates RecA-binding to the ssDNA for homologous DNA recombination and repair. Holoenzyme degrades any linearized DNA that is unable to undergo homologous recombination. In the holoenzyme this subunit has ssDNA-dependent ATPase and 5'-3' helicase activity. When added to pre-assembled RecBC greatly stimulates nuclease activity and augments holoenzyme processivity. Negatively regulates the RecA-loading ability of RecBCD	-	-	-	-	-	-	-	-	-	-	-	-	-	229	3082	"contig-100_0"	2410	2.29	2.3	0.082	0.0517	76.9	0.9804	0.602	0.618	51513	0.563
contig-100_0_5	312309.VF_2017	3.47e-34	122.0	2CPEB@1|root,32SIW@2|Bacteria,1MZE0@1224|Proteobacteria,1SARU@1236|Gammaproteobacteria	1236|Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	70	5327	"contig-100_0"	2410	2.29	2.3	0.082	0.0517	76.9	0.9804	0.602	0.618	51513	0.563
contig-100_0_7	113395.AXAI01000002_gene5442	1.63e-37	131.0	2FEUE@1|root,346TC@2|Bacteria,1MZPB@1224|Proteobacteria,2UC4Q@28211|Alphaproteobacteria,3K04T@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	66	7537	"contig-100_0"	2410	2.29	2.3	0.082	0.0517	76.9	0.9804	0.602	0.618	51513	0.563
contig-100_0_12	716928.AJQT01000109_gene1217	3.58e-50	163.0	2FEUE@1|root,346TC@2|Bacteria,1MZPB@1224|Proteobacteria,2UC4Q@28211|Alphaproteobacteria	28211|Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	59	11174	"contig-100_0"	2410	2.29	2.3	0.082	0.0517	76.9	0.9804	0.602	0.618	51513	0.563
contig-100_1_5	246197.MXAN_1226	1.07e-64	248.0	COG1372@1|root,COG4733@1|root,COG1372@2|Bacteria,COG4733@2|Bacteria,1P9S5@1224|Proteobacteria	1224|Proteobacteria	L	Fibronectin type 3 domain	-	-	-	-	-	-	-	-	-	-	-	-	fn3	574	5225	"contig-100_1"	1898	2.37	2.37	0.0847	0.0507	78.19	0.9826	0.606	0.622	40232	0.578
contig-100_1_7	1183438.GKIL_0391	2.9e-12	80.5	COG5283@1|root,COG5283@2|Bacteria	2|Bacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	PhageMin_Tail,Phage_HK97_TLTM	546	9172	"contig-100_1"	1898	2.37	2.37	0.0847	0.0507	78.19	0.9826	0.606	0.622	40232	0.578
contig-100_1_8	1120973.AQXL01000096_gene3014	1.01e-14	73.2	2ENEY@1|root,33G2E@2|Bacteria	2|Bacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	47	9731	"contig-100_1"	1898	2.37	2.37	0.0847	0.0507	78.19	0.9826	0.606	0.622	40232	0.578
contig-100_1_11	670307.HYPDE_32093	1.35e-10	62.8	2E3NG@1|root,32YKK@2|Bacteria,1NBBS@1224|Proteobacteria,2UGKW@28211|Alphaproteobacteria	28211|Alphaproteobacteria	S	Protein of unknown function (DUF3168)	-	-	-	-	-	-	-	-	-	-	-	-	DUF3168	43	11055	"contig-100_1"	1898	2.37	2.37	0.0847	0.0507	78.19	0.9826	0.606	0.622	40232	0.578
contig-100_1_12	278197.PEPE_0791	0.000701	44.7	2CIV5@1|root,32ZS6@2|Bacteria,1VFPA@1239|Firmicutes,4HQWN@91061|Bacilli,3F8P3@33958|Lactobacillaceae	91061|Bacilli	S	Bacteriophage HK97-gp10, putative tail-component	-	-	-	-	-	-	-	-	-	-	-	-	HK97-gp10_like	71	11482	"contig-100_1"	1898	2.37	2.37	0.0847	0.0507	78.19	0.9826	0.606	0.622	40232	0.578
