CDSqueryname	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs	MappedReadstoCDS	CDSLength	ParentContig	MappedReadstoParentContig	Duplicity	MeanDust	Damage+1	Damage-1	MeanLength	ANI	AvgReadGC	AvgRefGC	UniqueKmers	RatioDupKmers
contig-100_0_1	221288.JH992901_gene2269	3.6e-13	68.2	COG1704@1|root,COG1704@2|Bacteria,1G76G@1117|Cyanobacteria,1JJV8@1189|Stigonemataceae	1117|Cyanobacteria	S	LemA family	-	-	-	-	-	-	-	-	-	-	-	-	-	7	174	"contig-100_0"	2027	2.74	1.97	0.0304	0.0123	85.2	0.9889	0.477	0.48	42258	0.636
contig-100_0_2	251229.Chro_3014	3.48e-84	256.0	2DM9B@1|root,3289M@2|Bacteria,1G7B2@1117|Cyanobacteria,3VK3F@52604|Pleurocapsales	1117|Cyanobacteria	S	TIGRFAM cyanosortase-associated protein	-	-	-	-	-	-	-	-	-	-	-	-	Exosortase_EpsH	55	687	"contig-100_0"	2027	2.74	1.97	0.0304	0.0123	85.2	0.9889	0.477	0.48	42258	0.636
contig-100_0_3	927677.ALVU02000001_gene2393	3.43e-95	289.0	28KF7@1|root,2ZA1F@2|Bacteria,1G480@1117|Cyanobacteria	1117|Cyanobacteria	S	PFAM Transmembrane exosortase (Exosortase_EpsH)	-	-	-	-	-	-	-	-	-	-	-	-	Exosortase_EpsH	73	870	"contig-100_0"	2027	2.74	1.97	0.0304	0.0123	85.2	0.9889	0.477	0.48	42258	0.636
contig-100_0_4	221288.JH992901_gene4008	9.23e-101	302.0	COG0745@1|root,COG2207@1|root,COG0745@2|Bacteria,COG2207@2|Bacteria,1G5DB@1117|Cyanobacteria,1JHBA@1189|Stigonemataceae	1117|Cyanobacteria	KT	helix_turn_helix, arabinose operon control protein	-	-	-	-	-	-	-	-	-	-	-	-	HTH_18,Response_reg	62	789	"contig-100_0"	2027	2.74	1.97	0.0304	0.0123	85.2	0.9889	0.477	0.48	42258	0.636
contig-100_0_5	1469607.KK073768_gene2127	4e-300	834.0	COG0028@1|root,COG0028@2|Bacteria,1G3DN@1117|Cyanobacteria,1HMMF@1161|Nostocales	1117|Cyanobacteria	EH	Belongs to the TPP enzyme family	-	-	2.2.1.6	ko:K01652	ko00290,ko00650,ko00660,ko00770,ko01100,ko01110,ko01130,ko01210,ko01230,map00290,map00650,map00660,map00770,map01100,map01110,map01130,map01210,map01230	M00019,M00570	R00006,R00014,R00226,R03050,R04672,R04673,R08648	RC00027,RC00106,RC01192,RC02744,RC02893	ko00000,ko00001,ko00002,ko01000	-	-	-	TPP_enzyme_C,TPP_enzyme_M,TPP_enzyme_N	137	1806	"contig-100_0"	2027	2.74	1.97	0.0304	0.0123	85.2	0.9889	0.477	0.48	42258	0.636
contig-100_0_6	63737.Npun_R1275	1.87e-174	495.0	COG0334@1|root,COG0334@2|Bacteria,1G4VH@1117|Cyanobacteria,1HJY2@1161|Nostocales	1117|Cyanobacteria	E	Belongs to the Glu Leu Phe Val dehydrogenases family	-	-	1.4.1.9	ko:K00263	ko00280,ko00290,ko01100,ko01110,ko01130,map00280,map00290,map01100,map01110,map01130	-	R01088,R01434,R02196	RC00006,RC00036	ko00000,ko00001,ko01000	-	-	-	ELFV_dehydrog,ELFV_dehydrog_N	89	1062	"contig-100_0"	2027	2.74	1.97	0.0304	0.0123	85.2	0.9889	0.477	0.48	42258	0.636
contig-100_0_7	251229.Chro_3119	1.42e-201	561.0	28I97@1|root,2Z8BX@2|Bacteria,1G3YP@1117|Cyanobacteria,3VKYW@52604|Pleurocapsales	1117|Cyanobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	96	948	"contig-100_0"	2027	2.74	1.97	0.0304	0.0123	85.2	0.9889	0.477	0.48	42258	0.636
contig-100_0_8	927677.ALVU02000001_gene3373	7.09e-210	594.0	COG3386@1|root,COG3386@2|Bacteria,1GBTJ@1117|Cyanobacteria	1117|Cyanobacteria	G	PFAM SMP-30 Gluconolaconase	-	-	-	-	-	-	-	-	-	-	-	-	-	130	1395	"contig-100_0"	2027	2.74	1.97	0.0304	0.0123	85.2	0.9889	0.477	0.48	42258	0.636
contig-100_0_9	497965.Cyan7822_1537	1.43e-33	128.0	2FA93@1|root,342HS@2|Bacteria,1GEMU@1117|Cyanobacteria	1117|Cyanobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	56	657	"contig-100_0"	2027	2.74	1.97	0.0304	0.0123	85.2	0.9889	0.477	0.48	42258	0.636
contig-100_0_10	313624.NSP_52510	1.1e-77	251.0	COG3391@1|root,COG3391@2|Bacteria,1G499@1117|Cyanobacteria,1HKTY@1161|Nostocales	1117|Cyanobacteria	S	NHL repeat	-	-	-	-	-	-	-	-	-	-	-	-	DUF5128,NHL,VPEP	100	1146	"contig-100_0"	2027	2.74	1.97	0.0304	0.0123	85.2	0.9889	0.477	0.48	42258	0.636
contig-100_0_11	221288.JH992901_gene3823	2.69e-135	392.0	28JEH@1|root,2Z98N@2|Bacteria,1GQ7D@1117|Cyanobacteria	1117|Cyanobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	69	900	"contig-100_0"	2027	2.74	1.97	0.0304	0.0123	85.2	0.9889	0.477	0.48	42258	0.636
contig-100_0_12	221288.JH992901_gene3824	4.94e-192	536.0	COG1099@1|root,COG1099@2|Bacteria,1G334@1117|Cyanobacteria	1117|Cyanobacteria	S	with the TIM-barrel fold	-	-	-	ko:K07051	-	-	-	-	ko00000	-	-	-	TatD_DNase	84	924	"contig-100_0"	2027	2.74	1.97	0.0304	0.0123	85.2	0.9889	0.477	0.48	42258	0.636
contig-100_0_13	221288.JH992901_gene3825	1.26e-146	421.0	COG0382@1|root,COG0382@2|Bacteria,1G2D9@1117|Cyanobacteria	1117|Cyanobacteria	H	PFAM UbiA prenyltransferase	-	-	2.5.1.39	ko:K03179	ko00130,ko01100,ko01110,map00130,map01100,map01110	M00117	R05000,R05615	RC00209,RC02895	ko00000,ko00001,ko00002,ko01000,ko01006	-	-	-	UbiA	80	930	"contig-100_0"	2027	2.74	1.97	0.0304	0.0123	85.2	0.9889	0.477	0.48	42258	0.636
contig-100_0_14	221288.JH992901_gene3827	5.25e-169	481.0	COG0287@1|root,COG0287@2|Bacteria,1GBDY@1117|Cyanobacteria	1117|Cyanobacteria	E	PFAM Prephenate dehydrogenase	-	-	1.3.1.12,5.4.99.5	ko:K04517,ko:K14187	ko00400,ko00401,ko01100,ko01110,ko01130,ko01230,map00400,map00401,map01100,map01110,map01130,map01230	M00024,M00025	R01715,R01728	RC00125,RC03116	ko00000,ko00001,ko00002,ko01000	-	-	-	PDH	96	1035	"contig-100_0"	2027	2.74	1.97	0.0304	0.0123	85.2	0.9889	0.477	0.48	42258	0.636
contig-100_0_15	221288.JH992901_gene3829	4.68e-212	595.0	COG0337@1|root,COG0337@2|Bacteria,1G2JF@1117|Cyanobacteria	1117|Cyanobacteria	E	PFAM 3-dehydroquinate synthase	-	-	4.2.3.4	ko:K01735	ko00400,ko01100,ko01110,ko01130,ko01230,map00400,map01100,map01110,map01130,map01230	M00022	R03083	RC00847	ko00000,ko00001,ko00002,ko01000	-	-	-	DHQ_synthase	114	1215	"contig-100_0"	2027	2.74	1.97	0.0304	0.0123	85.2	0.9889	0.477	0.48	42258	0.636
