# DIAMOND v2.0.14. http://github.com/bbuchfink/diamond
# Invocation: diamond blastx -d /data/dragonen/01.Active_Projects/2024.Subglacial_Precip/databases/diamond/SCycDB_2020Mar_2 -q S6_S7_unmappedhpcc_contig.fa -o S6_S7_unmappedhpcc_contig_SCycDB_1.tsv -k 1 -e 0.00000000001 --query-cover 80 --id 60 --outfmt 6 --header
# Fields: Query ID, Subject ID, Percentage of identical matches, Alignment length, Number of mismatches, Number of gap openings, Start of alignment in query, End of alignment in query, Start of alignment in subject, End of alignment in subject, Expected value, Bit score
contig-100_3272	WP_151669644.1_[gene=dddA,souce=NCBI_bacteria_refseq]	64.8	460	136	5	1399	20	116	549	1.01e-207	592
contig-100_3729	1454010.JEOE01000013_gene2251_[description=prpE_ontology=COG0365_source=eggNOG]	74.3	526	132	2	3	1571	127	652	3.89e-290	803
contig-100_4232	pos:DT070_14350_[description=dmdC_ontology=K20035_source=KEGG]	90.6	467	40	1	1403	3	3	465	3.29e-308	845
contig-100_4415	1235457.C404_14285_[description=betB_ontology=COG1012_source=eggNOG]	66.8	482	154	2	1430	3	17	498	4.99e-230	643
contig-100_4583	35754.JNYJ01000005_gene5454_[description=betB_ontology=COG1012_source=eggNOG]	71.8	433	121	1	106	1404	2	433	1.40e-228	637
contig-100_4876	A0A3A4W1A0	71.8	432	101	2	32	1264	1	432	4.44e-220	614
contig-100_5387	WP_072098034.1_[gene=dmsC,souce=NCBI_bacteria_refseq]	63.9	388	128	2	1280	129	305	684	4.12e-154	454
contig-100_6280	470177832_[description=dmdB_ontology=COG0318_source=COG]	71.1	394	110	2	4	1173	119	512	9.09e-204	574
contig-100_6389	WP_007351987.1_[gene=cysI,souce=NCBI_bacteria_refseq]	91.1	349	30	1	1	1047	224	571	2.06e-231	645
contig-100_6506	A0A455XFJ2	88.5	382	44	0	1147	2	6	387	1.03e-251	690
contig-100_7191	538395220_[description=prpE_ontology=COG0365_source=COG]	88.4	352	41	0	1070	15	312	663	1.05e-233	653
contig-100_7565	1278078.G419_02255_[description=glpE_ontology=COG0607_source=eggNOG]	64.0	339	122	0	13	1029	105	443	7.14e-146	425
contig-100_7573	A0A258P6C0	91.0	323	29	0	989	21	3	325	1.45e-211	587
contig-100_7972	395493.BegalDRAFT_1624_[description=metX_ontology=COG2021_source=eggNOG]	82.7	289	50	0	869	3	6	294	2.32e-177	498
contig-100_8229	plim:PHILAsVB114_04835_[description=betA_ontology=K00108_source=KEGG]	81.0	326	62	0	980	3	90	415	9.30e-204	572
